,index,yelpid,name,lat,lng,distance miles,price rating,price value,review count,review rating,type,sub type,address1,city,state,zip
0,0,AVLj5MSJD1si-Rl6X6qTXQ,Rosewood Chinese Cuisine,43.6531088463227,-79.3967127799988,1133.4805209101783,$$,2,202,3.0,Chinese,Tapas/Small Plates,463 Dundas Street W,Toronto,ON,M5T 1G8
1,1,xdfGzrJ1mx3mBx6m14Ebhw,Goldstone Noodle Restaurant,43.6521515722158,-79.3979640306885,1250.3036856452748,$,1,114,3.0,Chinese,Noodles,266 Spadina Avenue,Toronto,ON,M5T 2E4
2,2,HSPMT3m9OOD4ypMO4wwOdg,Fresh On Front,43.648266,-79.374338,2395.92104696469,$$$,3,35,4.0,Vegetarian,n/a,47 Front Street E,Toronto,ON,M5E 1B3
3,3,QrTvQw_aZOLk_8FZ8tQ_-w,The Bier Markt,43.64474,-79.39992,2076.8967878808835,$$,2,184,3.0,Bars,"Beer, Wine & Spirits",600 King St West,Toronto,ON,M5V 1M3
4,4,XudwKA_sHWiFOxaHLbnfgA,Green Gene,43.65535,-79.3844,1263.8145373987404,NO $,0,1,4.0,Taiwanese,n/a,121 Dundas Street W,Toronto,ON,M5G
5,5,eW5XvdP3ApHx9v76eYCffw,One Pear Cafe,43.65482,-79.38727,1157.6893780261018,NO $,0,37,2.5,Cafes,n/a,201 Dundas Street W,Toronto,ON,M5G 1C8
6,6,98V9R-7YT20KmcmJyMiJmg,Il Fornello,43.64757,-79.38684,1888.9328840760074,$$,2,89,3.0,Italian,n/a,214 King Street W,Toronto,ON,M5H 3S6
7,7,8BT-nH2aWf6nyIdK797OHA,Avant Gout Restaurant,43.67864,-79.39045,1757.6783618053385,NO $,0,14,3.5,French,n/a,1108 Yonge Street,Toronto,ON,M4W 2L6
8,8,D87tFO-R6U8f4-e0r4Zq_g,Yorkville Crepes,43.6721931,-79.3878664,1174.9482564401667,$$,2,158,3.5,Creperies,Cafes,18 Yorkville Avenue,Toronto,ON,M4W 3Y8
9,9,WmuoWetYC-4U2-V4taC6Wg,Yueh Tung Restaurant,43.6550882011083,-79.3851792651491,1243.3199272085517,$$,2,176,3.5,Hakka,Breakfast & Brunch,126 Elizabeth Street,Toronto,ON,M5G 1P5
