,Name,Compound Score,Negative Score,Neutral Score,Postive Score
0,KINKA IZAKAYA ORIGINAL,0.719533333,0.015666667,0.767333333,0.217
1,Gyubee Japanese Grill - Bloor,0.500416667,0.007833333,0.839166667,0.153
2,Pai Northern Thai Kitchen,0.591677778,0.005222222,0.823222222,0.171555556
3,Rasa,0.566241667,0.003916667,0.834666667,0.161416667
4,Kōjin,0.518186667,0.003133333,0.848666667,0.1482
5,Seven Lives Tacos Y Mariscos,0.553466667,0.002611111,0.845,0.152388889
6,Richmond Station,0.514771429,0.002238095,0.853285714,0.14447619
7,Katsuya,0.522395833,0.0045,0.848791667,0.14675
8,The Innis Cafe,0.531485185,0.004,0.835888889,0.160148148
9,Myato Gastropub,0.5676,0.0036,0.819233333,0.1772
10,Daddyo's Pasta & Salads,0.563112121,0.00530303,0.820030303,0.17469697
11,Manpuku Japanese Eatery,0.518605556,0.009,0.82625,0.164777778
12,Tinuno,0.482441026,0.013333333,0.830179487,0.156512821
13,The Elm Tree Restaurant,0.469502381,0.012380952,0.8345,0.153142857
14,Okonomi House Restaurant,0.476153333,0.013155556,0.830111111,0.156755556
15,BauZza BauZza,0.485204167,0.016166667,0.8245625,0.159291667
16,The Annex Food Hall,0.463862745,0.018176471,0.828176471,0.153666667
17,Byblos,0.431781481,0.022481481,0.826962963,0.150574074
18,Insomnia Restaurant & Lounge,0.446680702,0.021298246,0.82454386,0.154175439
19,Gusto 101,0.460311667,0.021533333,0.820916667,0.157566667
20,Juicy Dumpling,0.470434921,0.021126984,0.819111111,0.159777778
21,Onnki Donburi,0.457637879,0.022106061,0.822287879,0.155621212
22,Yasu,0.463071014,0.021144928,0.821753623,0.157115942
23,The Oxley,0.461347222,0.022,0.81775,0.160263889
24,Ramen Isshin,0.458216,0.022066667,0.819133333,0.1588
25,Ikkousha Ramen,0.46220641,0.021217949,0.818166667,0.160615385
26,Gallery Grill,0.45998642,0.020432099,0.819098765,0.160469136
27,Planta Yorkville,0.467385714,0.019702381,0.814488095,0.165809524
28,Little Piggy's,0.460114943,0.021678161,0.81262069,0.165701149
29,Her Father's Cider Bar & Kitchen,0.464385556,0.020955556,0.813066667,0.165977778
30,CRU,0.45948172,0.02027957,0.81411828,0.165602151
31,Seor Ak San,0.464586458,0.019645833,0.815072917,0.16528125
32,Sansotei Ramen,0.456950505,0.022151515,0.813818182,0.164030303
33,Pow Wow Cafe,0.452626471,0.023264706,0.813598039,0.163137255
34,GB Hand-pulled Noodles,0.461648571,0.0226,0.812133333,0.165266667
35,Figs and Olives Kitchen,0.457751852,0.022925926,0.812027778,0.165046296
36,Rasta Pasta,0.437241441,0.025162162,0.813486486,0.161351351
37,KINKA IZAKAYA BLOOR,0.447214035,0.02504386,0.811096491,0.163859649
38,Her Chef,0.455055556,0.024401709,0.810145299,0.165452991
39,Kintaro Izakaya,0.46115,0.0244,0.808258333,0.167341667
40,Tasty's Caribbean Restaurant,0.440489431,0.026146341,0.810593496,0.163260163
41,Raku,0.431715873,0.027531746,0.810277778,0.162190476
42,Pig Out BBQ,0.440410078,0.026891473,0.808875969,0.164232558
43,Zaad,0.449889394,0.026280303,0.806621212,0.167098485
44,Koyoi Restaurant & Bar,0.447288889,0.026725926,0.807548148,0.165718519
45,Homemade Ramen,0.44242971,0.027376812,0.808,0.164615942
46,Papi Chulo's Mexicana,0.447543262,0.027304965,0.805524823,0.167156028
47,Clubhouse Sandwich Shop,0.441285417,0.027604167,0.806736111,0.165645833
48,Niuda Hand-Pulled Noodles,0.444272789,0.027040816,0.805993197,0.166952381
49,Pho Tien Thanh,0.448398,0.026953333,0.80586,0.167173333
50,Swatow Restaurant,0.449222222,0.026424837,0.806816993,0.166745098
51,Awastea,0.444374359,0.025916667,0.809391026,0.164679487
52,Omai Restaurant,0.449701258,0.025427673,0.808918239,0.165641509
53,Khao San Road,0.449568519,0.02495679,0.809820988,0.165209877
54,Carisma,0.444586667,0.025624242,0.81009697,0.164260606
55,Moo Frites,0.439775595,0.025857143,0.811720238,0.162404762
56,817 Sports Bar & Grill,0.437173373,0.025704142,0.81283432,0.161443787
57,Egg Bae,0.432313953,0.026744186,0.811976744,0.161261628
58,La Chilaca Taqueria,0.435028,0.026622857,0.811377143,0.161982857
59,Jacobs & Co. Steakhouse,0.432045506,0.026174157,0.8135,0.160308989
60,DaiLo,0.421575138,0.027276243,0.813845304,0.158856354
61,Beerbistro,0.420769565,0.027315217,0.814315217,0.158347826
62,Yummy Yummy Dumplings,0.421737968,0.027818182,0.813620321,0.158540107
63,Hokkaido Ramen Santouka,0.426196842,0.027378947,0.813673684,0.158926316
64,Chubby's Jamaican Kitchen,0.432672021,0.027398964,0.810658031,0.16192228
65,Piano Piano,0.435633673,0.027923469,0.809372449,0.162683673
66,Tsujiri Patisserie,0.439032663,0.027502513,0.809281407,0.16319598
67,Como En Casa,0.439721782,0.027470297,0.80950495,0.16300495
68,Epicure City BOM,0.441202439,0.027531707,0.809702439,0.162746341
69,Banh Mi Boys,0.439561058,0.028274038,0.808764423,0.162942308
70,Alo Restaurant,0.440753555,0.027872038,0.809308057,0.162800948
71,Sabai Sabai Kitchen and Bar,0.444349065,0.027785047,0.808060748,0.164140187
72,Naan & Kabob,0.441200922,0.027705069,0.809082949,0.163198157
73,Nom Nom Nom Poutine,0.442667273,0.027327273,0.809663636,0.162995455
74,Clay Restaurant,0.444202703,0.027081081,0.809342342,0.163563063
75,Yuzu No Hana,0.442280889,0.028168889,0.808111111,0.163706667
76,Banh Mi Boys,0.442509211,0.028074561,0.808627193,0.163285088
77,Eighteen30,0.442784416,0.027709957,0.809506494,0.162770563
78,416 Snack Bar,0.447147863,0.027354701,0.808098291,0.164534188
79,Shi Miaodao Yunnan Rice Noodle,0.448102532,0.027008439,0.808092827,0.164886076
80,The Wickson Social,0.449052083,0.026920833,0.80845,0.164616667
81,Fieramosca,0.448991358,0.027259259,0.80673251,0.165995885
82,Dakgogi,0.447903252,0.027243902,0.80648374,0.166260163
83,Museum Tavern,0.446106827,0.027751004,0.805738956,0.166497992
84,Riddle Room,0.443187302,0.028242063,0.805384921,0.166361111
85,Otto's Berlin Döner,0.4439,0.027909804,0.806141176,0.165937255
86,Sansotei,0.444549612,0.027585271,0.806658915,0.165744186
87,Smoque N' Bones,0.447620307,0.027877395,0.805375479,0.166735632
88,Bob's Bulgogi,0.449568561,0.027560606,0.805590909,0.166837121
89,Almond Butterfly Cafe & Bakeshop,0.453268914,0.027250936,0.804576779,0.168161049
90,Odd Seoul,0.450754444,0.027840741,0.804048148,0.1681
91,Bar Raval,0.451278755,0.027534799,0.804377289,0.168076923
92,The Original Gyro Grill,0.447771377,0.027804348,0.805039855,0.167144928
93,The Manna,0.443564516,0.028071685,0.805369176,0.166548387
94,Wilbur Mexicana,0.444767021,0.027943262,0.805659574,0.166386525
95,Greedy Duck,0.444901053,0.027831579,0.806403509,0.165754386
96,Bar Isabel,0.445401736,0.027868056,0.806197917,0.165923611
97,32 Chicken St.,0.448656701,0.027580756,0.805780069,0.166628866
98,Poke Guys,0.451585034,0.02729932,0.80535034,0.167340136
99,Mr.Tonkatsu,0.449188889,0.027410774,0.806087542,0.166491582
100,Fat Pasha,0.449203667,0.02744,0.806146667,0.166403333
101,Torch Pressed Sushi,0.44728245,0.027258278,0.807152318,0.16557947
102,Opus Restaurant,0.449918361,0.027236066,0.806203279,0.166547541
103,Saigon Lotus,0.452404221,0.026970779,0.805987013,0.167029221
104,Pomegranate Restaurant,0.453984887,0.026710611,0.806167203,0.167109325
105,Tokyo Kitchen,0.452884076,0.026996815,0.805878981,0.16711465
106,Rol San,0.45065142,0.026993691,0.806545741,0.166451104
107,Bobbie Sue's Mac & Cheese,0.452492813,0.02685625,0.80645625,0.166678125
108,Cabano's Comfort Food,0.453877709,0.026606811,0.806371517,0.167012384
109,Chine Hot Pot & Noodles,0.452708896,0.026969325,0.806076687,0.166947853
110,Vegetarian Haven,0.452546809,0.026917933,0.805884498,0.167191489
111,Constantine,0.45621747,0.026792169,0.80489759,0.168304217
112,Aloette,0.457958209,0.026552239,0.804540299,0.168901493
113,Soos,0.458271006,0.026473373,0.804698225,0.168822485
114,Assembly Chef's Hall,0.456320235,0.026460411,0.805208211,0.168325513
115,The Gabardine,0.454913953,0.026229651,0.806043605,0.16772093
116,Lee Chen Asian Bistro,0.454270893,0.026132565,0.806564841,0.16729683
117,Patria,0.454548857,0.025908571,0.806962857,0.167122857
118,Buk Chang Dong Soon Tofu,0.453279887,0.025688385,0.808048159,0.16625779
119,Maison Close 1888,0.452563483,0.025699438,0.808325843,0.165969101
120,Korean Village Restaurant,0.452420891,0.025832869,0.808270195,0.165888579
121,Cactus Club Cafe,0.454700552,0.025618785,0.808058011,0.166314917
122,Bang Bang Burrito,0.447828767,0.026753425,0.808290411,0.164947945
123,Pearl Diver,0.450695652,0.026627717,0.807934783,0.165429348
124,Matha Roti - East Indian Cuisine,0.44977062,0.027026954,0.807207547,0.165757412
125,Hancook Cheese Dakgalbi,0.452109626,0.02681016,0.806614973,0.166566845
126,Thai Country Kitchen,0.454282759,0.026596817,0.805976127,0.167419098
127,Playa Cabana,0.450445789,0.027036842,0.806207895,0.166744737
128,Utsav,0.446501044,0.027295039,0.807013055,0.165681462
129,Magical Taste of China,0.443660622,0.02730829,0.808002591,0.164678756
130,Tabriz Persian Cookhouse,0.445364524,0.02733162,0.807537275,0.165120823
131,Moliceiro Restaurant,0.445003316,0.027122449,0.808209184,0.164658163
132,Fudao noodle house,0.441641772,0.027496203,0.808372152,0.164118987
133,El Trompo Taco Bar,0.44308392,0.027457286,0.808439698,0.16408794
134,Wow Sushi,0.446450623,0.02725187,0.807508728,0.165224439
135,Wafels & More,0.448320792,0.027240099,0.806957921,0.165787129
136,Yummy Korean Food Restaurant,0.447796069,0.027238329,0.8072457,0.165501229
137,Liuyishou Hotpot Downtown Toronto,0.450491951,0.027039024,0.806902439,0.166043902
138,L'Unita,0.451344068,0.02696368,0.806929782,0.16609201
139,Hacienda las Américas,0.453315625,0.0269375,0.806495192,0.166552885
140,Fuwa Fuwa Japanese Pancakes,0.453216706,0.02697136,0.806634845,0.166379475
141,Zakkushi,0.450782227,0.027836493,0.805736967,0.166414692
142,Aanch Modernist Indian Cuisine,0.451098824,0.027814118,0.805847059,0.166327059
143,Dumpling House Restaurant,0.451136215,0.027922897,0.805574766,0.166490654
144,Hong Kong Bistro Cafe,0.451424362,0.027728538,0.806136891,0.16612297
145,Soba Canada,0.451719816,0.02768894,0.80616129,0.166138249
146,The Queen And Beaver Public House,0.452649199,0.027627002,0.806144165,0.166217391
147,Trattoria Nervosa,0.455035227,0.027438636,0.805731818,0.166818182
148,Est West Cafe,0.45693544,0.027252822,0.805478555,0.167257336
149,The Carbon Bar,0.45868991,0.02720852,0.804818386,0.167961883
150,Yummy Zone,0.456347661,0.02718931,0.805719376,0.167080178
