,yelpid,name,lat,lng,distance miles,price rating,price value,review count,review rating,type,address1,city,state,zip
0,RtUvSWO_UZ8V3Wpj0n077w,KINKA IZAKAYA ORIGINAL,43.6604,-79.37896,1386.2115558199775,$$,2,1488,4.0,Japanese,398 Church St,Toronto,ON,M5B 2A2
1,qR4EIktJfQKc4rnKgBzvtw,Gyubee Japanese Grill - Bloor,43.66716,-79.40047,585.8329754917949,$$,2,149,4.0,Barbeque,335 Bloor Street W,Toronto,ON,M5S 1W7
2,r_BrIgzYcwo1NAuG9dLbpg,Pai Northern Thai Kitchen,43.647866,-79.3886415,1805.2989374965152,$$,2,2344,4.5,Thai,18 Duncan Street,Toronto,ON,M5H 3G8
3,eKznX8VTfcQrjCqXpeobiw,Rasa,43.6627752,-79.4039682,667.0800791768606,$$,2,226,4.5,Canadian (New),196 Robert Street,Toronto,ON,M5S 2K8
4,ro82qYK_AETB8wNGA5Xdzw,Kōjin,43.64947,-79.38633,1710.2483469382635,NO $,0,64,4.0,Canadian (New),190 University Ave,Toronto,ON,M5H 0A3
5,iGEvDk6hsizigmXhDKs2Vg,Seven Lives Tacos Y Mariscos,43.6543411559068,-79.4004796072841,1065.227469347267,$,1,1211,4.5,Mexican,69 Kensington Avenue,Toronto,ON,M5T 2K2
6,mZRKH9ngRY92bI_irrHq6w,Richmond Station,43.6513729,-79.379285,1869.9369229008607,$$$,3,676,4.5,Canadian (New),1 Richmond Street W,Toronto,ON,M5H 3W4
7,saijdv-vXJrvsCfvr7SZOw,Katsuya,43.65995,-79.37882,1406.2377511399195,$$,2,312,4.5,Japanese,66 Gerrard Street E,Toronto,ON,M5B 2M2
8,FqviVFdQac_dVwVMrNtGBA,The Innis Cafe,43.66556,-79.3995599,404.3518213012837,$,1,19,4.0,Cafes,2 Sussex Avenue,Toronto,ON,M5S 1J5
9,1HqUJ8TvBMWKfqHYWTyFNw,Myato Gastropub,43.66518,-79.41015,1184.6078937237935,NO $,0,55,4.0,Korean,549 Bloor Street W,Toronto,ON,M5S 1Y6
10,oHgCHC8a3QNJiB4-Ld0_kg,Daddyo's Pasta & Salads,43.6645899,-79.40234,557.1595728084726,$$,2,88,4.0,Italian,673 Spadina Avenue,Toronto,ON,M5S 2H9
11,HUYEadSbGSQNHXFmT2Ujjw,Manpuku Japanese Eatery,43.65406,-79.39101,1136.9992391422916,$,1,419,4.0,Japanese,105 McCaul Street,Toronto,ON,M5T 2X4
12,G24p1oGGfY3t-m8Z2lPCaQ,Tinuno,43.6711430082347,-79.374853497263,1891.5250482225165,$$,2,412,4.0,Filipino,31 Howard Street,Toronto,ON,M4X 1J6
13,kYD9E14AijONhJ7rFsyLrg,The Elm Tree Restaurant,43.6572873032448,-79.3836965529587,1173.2577558587138,$$,2,234,4.5,Mediterranean,43 Elm Street,Toronto,ON,M5G 1H1
14,PiLfiQYyDNgBaAvSL58cqg,Okonomi House Restaurant,43.668311069021,-79.387133746804,888.0644042806356,$,1,244,4.0,Japanese,23 Charles Street W,Toronto,ON,M4Y 2R4
15,QTIG9Dm1IpYuwCLOcFyDCw,BauZza BauZza,43.65798,-79.40163,758.5590716088586,NO $,0,15,4.0,Soup,298 College St,Toronto,ON,M5T 1R9
16,3FVpx9ksZLgOrYy1I05Ypg,The Annex Food Hall,43.6662561448828,-79.4065094072386,930.1530246199677,NO $,0,16,4.0,Food Court,384 Bloor Street W,Toronto,ON,M5S 1X2
17,Yl2TN9c23ZGLUBSD9ks5Uw,Byblos,43.647546,-79.388123,1852.4198459896202,$$$,3,737,4.5,Mediterranean,11 Duncan Street,Toronto,ON,M5V 3M2
18,e41TP5cXZqSrz50xCBJqZw,Insomnia Restaurant & Lounge,43.6651314099312,-79.4108515895492,1235.759919533344,$$,2,846,4.0,Lounges,563 Bloor Street W,Toronto,ON,M5S 1Y6
19,B70iTJjcPkuYn8ouUewWgw,Gusto 101,43.645002131066,-79.400309337027,2065.4962250479975,$$,2,873,4.0,Italian,101 Portland Street,Toronto,ON,M5V 2N3
20,eD-XLSo-j8uIoTnIlrG8YA,Juicy Dumpling,43.6527250786074,-79.3986365944147,1196.7260603848508,$,1,208,4.0,Dim Sum,280 Spadina Ave,Toronto,ON,M5T 0A1
21,aEZ_EoArhpjV2p0q5MXFMA,Onnki Donburi,43.66996,-79.38455,1150.0826125123447,$$,2,123,4.0,Japanese,40 Hayden Street,Toronto,ON,M4Y 1V8
22,q9_gLvTNf11etVxbH7JY0Q,Yasu,43.6627268440129,-79.4032790460321,612.3693511143559,$$$$,4,322,4.5,Japanese,81 Harbord Street,Toronto,ON,M5S
23,n_-CwlqV8fzEIUPky8Ibtw,The Oxley,43.6707168,-79.393126,852.9349976816433,$$,2,131,4.0,Gastropubs,121 Yorkville Avenue,Toronto,ON,M5R 1C4
24,crstB-H5rOfbXhV8pX0e6g,Ramen Isshin,43.65634,-79.40689,1184.6459943252485,$$,2,540,4.5,Ramen,421 College Street,Toronto,ON,M5T 1T1
25,BWCfyBdnTvuXp6A_8wt8cA,Ikkousha Ramen,43.65024,-79.38873,1554.8197633101,NO $,0,21,4.5,Ramen,249 Queen Street W,Toronto,ON,M5V 1Z4
26,BkvUOO79b7wdTjWGYo1pqg,Gallery Grill,43.6636499,-79.3944999,146.3056670107739,$$$,3,20,4.0,Canadian (New),7 Hart House Circle,Toronto,ON,M5S 3H3
27,JG9UpsFR6hrqQqsKh_RyaQ,Planta Yorkville,43.6702150961667,-79.3894335574237,921.7896874121972,$$$,3,364,4.0,Tapas/Small Plates,1221 Bay Street,Toronto,ON,M5R 3P5
28,9yrAfE46k-_kqg4ULHu8Vw,Little Piggy's,43.6659,-79.406785,937.8380131381787,$$,2,149,3.5,Korean,469 Bloor Street West,Toronto,ON,M5S 1X9
29,47wBHgBwQ8_70sjmXow_1g,Her Father's Cider Bar & Kitchen,43.66232,-79.40453,721.0007457469585,$$,2,132,4.5,Gastropubs,119 Harbord Street,Toronto,ON,M5S 1G7
30,W5lXGA4FeXf6SPUsSfRKgg,CRU,43.64977,-79.37847,2041.635366406572,NO $,0,6,4.5,Canadian (New),100 Yonge Street,Toronto,ON,M5C 2W1
31,4twpbw7n4DmsLxAm6-sMkg,Seor Ak San,43.65557,-79.3986,885.2106576550707,$,1,274,4.0,Korean,357 Spadina Avenue,Toronto,ON,M5T 2G3
32,f5O7v_X_jCg2itqacRfxhg,Sansotei Ramen,43.655,-79.38643,1182.2040770646724,$$,2,814,4.0,Ramen,179 Dundas Street W,Toronto,ON,M5G 1Z8
33,Nq0UHjD_cKW9UbIJplQf_g,Pow Wow Cafe,43.65412,-79.40151,1116.4994074213048,$$,2,100,4.5,Canadian (New),213 Augusta Avenue,Toronto,ON,M5T 2L4
34,XYIPXJ9parr9FtvvcGI1SA,GB Hand-pulled Noodles,43.65669,-79.38385,1206.0378780457581,$$,2,461,4.0,Chinese,66 Edward Street,Toronto,ON,M5G 1C9
35,hnLvniU73W9Ni72Aym3A3g,Figs and Olives Kitchen,43.66484,-79.38607,805.3345025268113,NO $,0,24,4.5,Mediterranean,24 Wellesley Street W,Toronto,ON,M4Y 2X6
36,m3U4Pey_Yr0jgJb8MHfy5g,Rasta Pasta,43.6542328627147,-79.4004420356637,1075.3927857670672,$,1,285,4.0,Caribbean,61 Kensington Avenue,Toronto,ON,M5T
